"BehaviorSpace results (NetLogo 6.3.0)"
"3-SmallWorldDiffusion.nlogo"
"experiment 1"
"03/19/2023 17:41:55:179 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","prob-spread-one","rewiring-probability","num-nodes","complex-contagion?","prob-infection","[step]","num-infected"
"376","0.001","1","100","true","0.1","817","100"
"375","0.001","1","100","true","0.1","1298","100"
"380","0.001","1","100","true","0.1","266","100"
"379","0.001","1","100","true","0.1","568","100"
"377","0.001","1","100","true","0.1","1178","100"
"381","0.001","1","100","true","0.1","786","100"
"372","0.001","1","100","true","0.1","2242","100"
"382","0.001","1","100","true","0.1","918","100"
"385","0.001","1","100","true","0.1","666","100"
"383","0.001","1","100","true","0.1","1193","100"
"388","0.001","1","100","true","0.1","556","100"
"387","0.001","1","100","true","0.1","583","100"
"386","0.001","1","100","true","0.1","748","100"
"327","0.001","1","100","true","0.1","10000","99"
"390","0.001","1","100","true","0.1","1466","100"
"378","0.001","1","100","true","0.1","2624","100"
"394","0.001","1","100","true","0.1","616","100"
"373","0.001","1","100","true","0.1","3771","100"
"396","0.001","1","100","true","0.1","1095","100"
"397","0.001","1","100","true","0.1","915","100"
"391","0.001","1","100","true","0.1","2353","100"
"389","0.001","1","100","true","0.1","2628","100"
"398","0.001","1","100","true","0.1","578","100"
"401","0.01","0.001","100","true","0.1","28","100"
"402","0.01","0.001","100","true","0.1","27","100"
"403","0.01","0.001","100","true","0.1","27","100"
"404","0.01","0.001","100","true","0.1","28","100"
"406","0.01","0.001","100","true","0.1","28","100"
"405","0.01","0.001","100","true","0.1","28","100"
"407","0.01","0.001","100","true","0.1","30","100"
"408","0.01","0.001","100","true","0.1","29","100"
"409","0.01","0.001","100","true","0.1","34","100"
"410","0.01","0.001","100","true","0.1","28","100"
"411","0.01","0.001","100","true","0.1","50","100"
"412","0.01","0.001","100","true","0.1","27","100"
"413","0.01","0.001","100","true","0.1","29","100"
"414","0.01","0.001","100","true","0.1","27","100"
"415","0.01","0.001","100","true","0.1","30","100"
"417","0.01","0.001","100","true","0.1","28","100"
"416","0.01","0.001","100","true","0.1","29","100"
"418","0.01","0.001","100","true","0.1","26","100"
"420","0.01","0.001","100","true","0.1","29","100"
"419","0.01","0.001","100","true","0.1","30","100"
"400","0.001","1","100","true","0.1","1003","100"
"421","0.01","0.001","100","true","0.1","29","100"
"422","0.01","0.001","100","true","0.1","29","100"
"423","0.01","0.001","100","true","0.1","30","100"
"424","0.01","0.001","100","true","0.1","29","100"
"425","0.01","0.001","100","true","0.1","29","100"
"427","0.01","0.001","100","true","0.1","28","100"
"426","0.01","0.001","100","true","0.1","29","100"
"428","0.01","0.001","100","true","0.1","29","100"
"429","0.01","0.001","100","true","0.1","28","100"
"430","0.01","0.001","100","true","0.1","28","100"
"431","0.01","0.001","100","true","0.1","28","100"
"432","0.01","0.001","100","true","0.1","27","100"
"392","0.001","1","100","true","0.1","3651","100"
"433","0.01","0.001","100","true","0.1","29","100"
"434","0.01","0.001","100","true","0.1","29","100"
"435","0.01","0.001","100","true","0.1","55","100"
"399","0.001","1","100","true","0.1","1465","100"
"436","0.01","0.001","100","true","0.1","27","100"
"437","0.01","0.001","100","true","0.1","30","100"
"438","0.01","0.001","100","true","0.1","29","100"
"441","0.01","0.001","100","true","0.1","28","100"
"439","0.01","0.001","100","true","0.1","29","100"
"440","0.01","0.001","100","true","0.1","29","100"
"442","0.01","0.001","100","true","0.1","27","100"
"443","0.01","0.001","100","true","0.1","28","100"
"444","0.01","0.001","100","true","0.1","29","100"
"445","0.01","0.001","100","true","0.1","39","100"
"446","0.01","0.001","100","true","0.1","30","100"
"447","0.01","0.001","100","true","0.1","27","100"
"448","0.01","0.001","100","true","0.1","31","100"
"449","0.01","0.001","100","true","0.1","29","100"
"450","0.01","0.001","100","true","0.1","29","100"
"451","0.01","0.001","100","true","0.1","28","100"
"453","0.01","0.001","100","true","0.1","28","100"
"452","0.01","0.001","100","true","0.1","29","100"
"455","0.01","0.001","100","true","0.1","29","100"
"454","0.01","0.001","100","true","0.1","27","100"
"457","0.01","0.001","100","true","0.1","27","100"
"456","0.01","0.001","100","true","0.1","38","100"
"458","0.01","0.001","100","true","0.1","30","100"
"459","0.01","0.001","100","true","0.1","29","100"
"460","0.01","0.001","100","true","0.1","31","100"
"461","0.01","0.001","100","true","0.1","26","100"
"462","0.01","0.001","100","true","0.1","30","100"
"463","0.01","0.001","100","true","0.1","27","100"
"464","0.01","0.001","100","true","0.1","28","100"
"466","0.01","0.001","100","true","0.1","27","100"
"465","0.01","0.001","100","true","0.1","29","100"
"467","0.01","0.001","100","true","0.1","27","100"
"469","0.01","0.001","100","true","0.1","30","100"
"350","0.001","1","100","true","0.1","10000","99"
"468","0.01","0.001","100","true","0.1","27","100"
"470","0.01","0.001","100","true","0.1","28","100"
"471","0.01","0.001","100","true","0.1","27","100"
"472","0.01","0.001","100","true","0.1","30","100"
"473","0.01","0.001","100","true","0.1","30","100"
"476","0.01","0.001","100","true","0.1","28","100"
"474","0.01","0.001","100","true","0.1","27","100"
"475","0.01","0.001","100","true","0.1","28","100"
"477","0.01","0.001","100","true","0.1","29","100"
"479","0.01","0.001","100","true","0.1","28","100"
"478","0.01","0.001","100","true","0.1","29","100"
"480","0.01","0.001","100","true","0.1","29","100"
"481","0.01","0.001","100","true","0.1","27","100"
"482","0.01","0.001","100","true","0.1","27","100"
"483","0.01","0.001","100","true","0.1","29","100"
"484","0.01","0.001","100","true","0.1","29","100"
"486","0.01","0.001","100","true","0.1","27","100"
