"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment 2"
"03/04/2023 16:05:07:339 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"282","false","0.33","0.5","1","1","84","1"
"286","false","0.335","0.5","1","1","67","1"
"287","false","0.335","0.5","1","1","71","1"
"288","false","0.335","0.5","1","1","51","1"
"289","false","0.335","0.5","1","1","57","1"
"285","false","0.33","0.5","1","1","91","1"
"293","false","0.34","0.5","1","1","53","1"
"295","false","0.34","0.5","1","1","50","1"
"291","false","0.34","0.5","1","1","59","1"
"290","false","0.335","0.5","1","1","85","1"
"294","false","0.34","0.5","1","1","62","1"
"297","false","0.345","0.5","1","1","55","1"
"292","false","0.34","0.5","1","1","82","1"
"299","false","0.345","0.5","1","1","49","1"
"301","false","0.35","0.5","1","1","51","1"
"296","false","0.345","0.5","1","1","72","1"
"298","false","0.345","0.5","1","1","64","1"
"300","false","0.345","0.5","1","1","57","1"
"302","false","0.35","0.5","1","1","53","1"
"304","false","0.35","0.5","1","1","50","1"
"305","false","0.35","0.5","1","1","56","1"
"303","false","0.35","0.5","1","1","70","1"
"307","false","0.355","0.5","1","1","60","1"
"308","false","0.355","0.5","1","1","62","1"
"306","false","0.355","0.5","1","1","73","1"
"309","false","0.355","0.5","1","1","63","1"
"314","false","0.36","0.5","1","1","49","1"
"313","false","0.36","0.5","1","1","59","1"
"312","false","0.36","0.5","1","1","64","1"
"311","false","0.36","0.5","1","1","73","1"
"310","false","0.355","0.5","1","1","79","1"
"317","false","0.365","0.5","1","1","55","1"
"316","false","0.365","0.5","1","1","57","1"
"315","false","0.36","0.5","1","1","58","1"
"321","false","0.37","0.5","1","1","49","1"
"318","false","0.365","0.5","1","1","73","1"
"323","false","0.37","0.5","1","1","57","1"
"324","false","0.37","0.5","1","1","59","1"
"320","false","0.365","0.5","1","1","75","1"
"326","false","0.375","0.5","1","1","63","1"
"322","false","0.37","0.5","1","1","88","1"
"319","false","0.365","0.5","1","1","89","1"
"327","false","0.375","0.5","1","1","57","1"
"325","false","0.37","0.5","1","1","75","1"
"330","false","0.375","0.5","1","1","65","1"
"331","false","0.38","0.5","1","1","52","1"
"328","false","0.375","0.5","1","1","77","1"
"332","false","0.38","0.5","1","1","41","1"
"329","false","0.375","0.5","1","1","66","1"
"334","false","0.38","0.5","1","1","54","1"
"333","false","0.38","0.5","1","1","62","1"
"338","false","0.385","0.5","1","1","51","1"
"337","false","0.385","0.5","1","1","51","1"
"336","false","0.385","0.5","1","1","60","1"
"339","false","0.385","0.5","1","1","52","1"
"335","false","0.38","0.5","1","1","72","1"
"341","false","0.39","0.5","1","1","50","1"
"340","false","0.385","0.5","1","1","64","1"
"343","false","0.39","0.5","1","1","61","1"
"342","false","0.39","0.5","1","1","67","1"
"344","false","0.39","0.5","1","1","55","1"
"345","false","0.39","0.5","1","1","57","1"
"347","false","0.395","0.5","1","1","56","1"
"348","false","0.395","0.5","1","1","60","1"
"351","false","0.4","0.5","1","1","56","1"
"352","false","0.4","0.5","1","1","49","1"
"346","false","0.395","0.5","1","1","69","1"
"353","false","0.4","0.5","1","1","50","1"
"349","false","0.395","0.5","1","1","75","1"
"350","false","0.395","0.5","1","1","66","1"
"355","false","0.4","0.5","1","1","60","1"
"360","false","0.405","0.5","1","1","42","1"
"357","false","0.405","0.5","1","1","66","1"
"354","false","0.4","0.5","1","1","71","1"
"356","false","0.405","0.5","1","1","55","1"
"358","false","0.405","0.5","1","1","61","1"
"359","false","0.405","0.5","1","1","54","1"
"361","false","0.41","0.5","1","1","56","1"
"365","false","0.41","0.5","1","1","43","1"
"364","false","0.41","0.5","1","1","48","1"
"362","false","0.41","0.5","1","1","59","1"
"363","false","0.41","0.5","1","1","54","1"
"368","false","0.415","0.5","1","1","52","1"
"371","false","0.42","0.5","1","1","54","1"
"367","false","0.415","0.5","1","1","62","1"
"366","false","0.415","0.5","1","1","65","1"
"369","false","0.415","0.5","1","1","58","1"
"370","false","0.415","0.5","1","1","53","1"
"376","false","0.425","0.5","1","1","53","1"
"374","false","0.42","0.5","1","1","61","1"
"372","false","0.42","0.5","1","1","67","1"
"377","false","0.425","0.5","1","1","58","1"
"375","false","0.42","0.5","1","1","70","1"
"373","false","0.42","0.5","1","1","70","1"
"380","false","0.425","0.5","1","1","46","1"
"378","false","0.425","0.5","1","1","58","1"
"379","false","0.425","0.5","1","1","57","1"
"381","false","0.43","0.5","1","1","56","1"
"385","false","0.43","0.5","1","1","46","1"
"382","false","0.43","0.5","1","1","56","1"
"384","false","0.43","0.5","1","1","57","1"
"387","false","0.435","0.5","1","1","47","1"
"386","false","0.435","0.5","1","1","55","1"
"388","false","0.435","0.5","1","1","50","1"
"383","false","0.43","0.5","1","1","57","1"
"389","false","0.435","0.5","1","1","66","1"
"392","false","0.44","0.5","1","1","46","1"
"390","false","0.435","0.5","1","1","62","1"
"393","false","0.44","0.5","1","1","50","1"
"396","false","0.445","0.5","1","1","52","1"
"395","false","0.44","0.5","1","1","54","1"
"391","false","0.44","0.5","1","1","74","1"
"394","false","0.44","0.5","1","1","54","1"
"398","false","0.445","0.5","1","1","48","1"
"401","false","0.45","0.5","1","1","41","1"
"400","false","0.445","0.5","1","1","52","1"
"397","false","0.445","0.5","1","1","70","1"
"403","false","0.45","0.5","1","1","42","1"
"399","false","0.445","0.5","1","1","81","1"
"407","false","0.455","0.5","1","1","44","1"
"405","false","0.45","0.5","1","1","47","1"
"402","false","0.45","0.5","1","1","76","1"
"404","false","0.45","0.5","1","1","62","1"
"406","false","0.455","0.5","1","1","52","1"
"408","false","0.455","0.5","1","1","55","1"
"409","false","0.455","0.5","1","1","55","1"
"410","false","0.455","0.5","1","1","45","1"
"412","false","0.46","0.5","1","1","49","1"
"414","false","0.46","0.5","1","1","39","1"
"413","false","0.46","0.5","1","1","46","1"
"415","false","0.46","0.5","1","1","46","1"
"411","false","0.46","0.5","1","1","56","1"
"419","false","0.465","0.5","1","1","39","1"
"418","false","0.465","0.5","1","1","43","1"
"417","false","0.465","0.5","1","1","47","1"
"420","false","0.465","0.5","1","1","45","1"
"421","false","0.47","0.5","1","1","44","1"
"416","false","0.465","0.5","1","1","56","1"
"423","false","0.47","0.5","1","1","37","1"
"424","false","0.47","0.5","1","1","46","1"
"425","false","0.47","0.5","1","1","48","1"
"422","false","0.47","0.5","1","1","61","1"
"428","false","0.475","0.5","1","1","35","1"
"430","false","0.475","0.5","1","1","42","1"
"429","false","0.475","0.5","1","1","43","1"
"432","false","0.48","0.5","1","1","37","1"
"426","false","0.475","0.5","1","1","59","1"
"433","false","0.48","0.5","1","1","44","1"
"434","false","0.48","0.5","1","1","46","1"
"427","false","0.475","0.5","1","1","52","1"
"437","false","0.485","0.5","1","1","37","1"
"431","false","0.48","0.5","1","1","56","1"
"436","false","0.485","0.5","1","1","48","1"
"435","false","0.48","0.5","1","1","52","1"
"438","false","0.485","0.5","1","1","46","1"
"439","false","0.485","0.5","1","1","49","1"
"440","false","0.485","0.5","1","1","50","1"
"443","false","0.49","0.5","1","1","42","1"
"441","false","0.49","0.5","1","1","55","1"
"444","false","0.49","0.5","1","1","46","1"
"448","false","0.495","0.5","1","1","35","1"
"442","false","0.49","0.5","1","1","59","1"
"446","false","0.495","0.5","1","1","48","1"
"445","false","0.49","0.5","1","1","44","1"
"447","false","0.495","0.5","1","1","50","1"
"449","false","0.495","0.5","1","1","46","1"
"450","false","0.495","0.5","1","1","39","1"
"451","false","0.5","0.5","1","1","45","1"
"453","false","0.5","0.5","1","1","42","1"
"456","false","0.505","0.5","1","1","38","1"
"452","false","0.5","0.5","1","1","48","1"
"458","false","0.505","0.5","1","1","34","1"
"455","false","0.5","0.5","1","1","43","1"
"460","false","0.505","0.5","1","1","31","1"
"457","false","0.505","0.5","1","1","40","1"
"454","false","0.5","0.5","1","1","45","1"
"461","false","0.51","0.5","1","1","42","1"
"459","false","0.505","0.5","1","1","43","1"
"463","false","0.51","0.5","1","1","34","1"
"462","false","0.51","0.5","1","1","42","1"
"465","false","0.51","0.5","1","1","40","1"
"470","false","0.515","0.5","1","1","39","1"
"467","false","0.515","0.5","1","1","52","1"
"468","false","0.515","0.5","1","1","58","1"
"471","false","0.52","0.5","1","1","41","1"
"466","false","0.515","0.5","1","1","49","1"
"472","false","0.52","0.5","1","1","50","1"
"474","false","0.52","0.5","1","1","40","1"
"469","false","0.515","0.5","1","1","47","1"
"464","false","0.51","0.5","1","1","64","1"
"476","false","0.525","0.5","1","1","46","1"
"477","false","0.525","0.5","1","1","45","1"
"478","false","0.525","0.5","1","1","38","1"
"473","false","0.52","0.5","1","1","54","1"
"479","false","0.525","0.5","1","1","39","1"
"482","false","0.53","0.5","1","1","36","1"
"475","false","0.52","0.5","1","1","51","1"
"483","false","0.53","0.5","1","1","38","1"
"481","false","0.53","0.5","1","1","35","1"
"484","false","0.53","0.5","1","1","38","1"
"480","false","0.525","0.5","1","1","52","1"
"485","false","0.53","0.5","1","1","43","1"
"487","false","0.535","0.5","1","1","48","1"
"490","false","0.535","0.5","1","1","54","1"
"489","false","0.535","0.5","1","1","44","1"
"488","false","0.535","0.5","1","1","56","1"
"491","false","0.54","0.5","1","1","48","1"
"486","false","0.535","0.5","1","1","67","1"
"492","false","0.54","0.5","1","1","39","1"
"495","false","0.54","0.5","1","1","36","1"
"494","false","0.54","0.5","1","1","48","1"
"493","false","0.54","0.5","1","1","68","1"
"498","false","0.545","0.5","1","1","40","1"
"499","false","0.545","0.5","1","1","42","1"
"500","false","0.545","0.5","1","1","35","1"
"497","false","0.545","0.5","1","1","45","1"
"496","false","0.545","0.5","1","1","47","1"
"503","false","0.55","0.5","1","1","36","1"
"502","false","0.55","0.5","1","1","45","1"
"505","false","0.55","0.5","1","1","37","1"
"504","false","0.55","0.5","1","1","46","1"
"501","false","0.55","0.5","1","1","66","1"
"506","false","0.555","0.5","1","1","41","1"
"507","false","0.555","0.5","1","1","46","1"
"509","false","0.555","0.5","1","1","37","1"
"508","false","0.555","0.5","1","1","48","1"
"512","false","0.56","0.5","1","1","38","1"
"513","false","0.56","0.5","1","1","46","1"
"511","false","0.56","0.5","1","1","44","1"
"516","false","0.565","0.5","1","1","31","1"
"510","false","0.555","0.5","1","1","49","1"
"517","false","0.565","0.5","1","1","39","1"
"514","false","0.56","0.5","1","1","57","1"
"515","false","0.56","0.5","1","1","38","1"
"521","false","0.57","0.5","1","1","38","1"
"519","false","0.565","0.5","1","1","46","1"
"520","false","0.565","0.5","1","1","45","1"
"518","false","0.565","0.5","1","1","43","1"
"522","false","0.57","0.5","1","1","31","1"
"523","false","0.57","0.5","1","1","35","1"
"527","false","0.575","0.5","1","1","27","1"
