"BehaviorSpace results (NetLogo 6.3.0)"
"practice-segregation.nlogo"
"experiment 1"
"02/04/2023 19:56:11:410 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","exact?","num-groups","similarity-threshold","[step]","average-similarity","prop-uniform"
"75","0.45","true","2","0.4","10","0.8809462759462747","0.6641025641025641"
"77","0.45","true","2","0.4","10","0.8814031339031323","0.6572649572649573"
"76","0.45","true","2","0.4","13","0.8751190476190465","0.6478632478632479"
"79","0.45","true","2","0.4","11","0.8727014652014631","0.6384615384615384"
"78","0.45","true","2","0.4","16","0.8640170940170926","0.6145299145299146"
"80","0.45","true","2","0.4","10","0.8885052910052897","0.6854700854700855"
"81","0.45","true","2","0.45","15","0.9245787545787539","0.7700854700854701"
"82","0.45","true","2","0.45","13","0.9202258852258843","0.752991452991453"
"83","0.45","true","2","0.45","13","0.9158923483923475","0.7410256410256411"
"84","0.45","true","2","0.45","12","0.9118803418803408","0.7341880341880341"
"85","0.45","true","2","0.45","15","0.9105046805046793","0.7230769230769231"
"86","0.45","true","2","0.45","12","0.9087891737891733","0.7264957264957265"
"88","0.45","true","2","0.45","10","0.91099308099308","0.7239316239316239"
"87","0.45","true","2","0.45","17","0.9245929995929987","0.7743589743589744"
"89","0.45","true","2","0.45","12","0.9095604395604396","0.7333333333333333"
"90","0.45","true","2","0.45","12","0.9098188848188838","0.7282051282051282"
"91","0.45","true","2","0.5","11","0.9129192104192094","0.735897435897436"
"92","0.45","true","2","0.5","15","0.9176210826210813","0.7435897435897436"
"93","0.45","true","2","0.5","16","0.9273117623117609","0.7794871794871795"
"94","0.45","true","2","0.5","21","0.9303235653235641","0.7863247863247863"
"95","0.45","true","2","0.5","15","0.9132112332112318","0.7316239316239316"
"96","0.45","true","2","0.5","12","0.9003724053724043","0.7025641025641025"
"97","0.45","true","2","0.5","11","0.9236996336996326","0.7717948717948718"
"99","0.45","true","2","0.5","12","0.9235897435897428","0.7683760683760684"
"98","0.45","true","2","0.5","16","0.9149633699633691","0.7401709401709402"
"100","0.45","true","2","0.5","12","0.9066941391941382","0.7136752136752137"
"101","0.45","true","2","0.55","23","0.9752462352462344","0.905982905982906"
"69","0.45","true","2","0.35","11","0.8812728937728929","0.6623931623931624"
"102","0.45","true","2","0.55","19","0.9773117623117619","0.9128205128205128"
"103","0.45","true","2","0.55","20","0.9757610907610904","0.9128205128205128"
"105","0.45","true","2","0.55","29","0.973247863247863","0.9008547008547009"
"106","0.45","true","2","0.55","24","0.9791310541310538","0.9205128205128205"
"107","0.45","true","2","0.55","19","0.9724562474562471","0.8940170940170941"
"108","0.45","true","2","0.55","20","0.9748697598697594","0.9034188034188034"
"109","0.45","true","2","0.55","17","0.9839194139194135","0.9384615384615385"
"110","0.45","true","2","0.55","24","0.9718437118437111","0.8897435897435897"
"111","0.45","true","2","0.6","23","0.9769006919006916","0.911965811965812"
"112","0.45","true","2","0.6","21","0.9733964183964178","0.8974358974358975"
"113","0.45","true","2","0.6","22","0.9690354090354087","0.8777777777777778"
"114","0.45","true","2","0.6","21","0.9736324786324781","0.8957264957264958"
"115","0.45","true","2","0.6","19","0.9748290598290594","0.9051282051282051"
"116","0.45","true","2","0.6","21","0.9767155067155064","0.9128205128205128"
"117","0.45","true","2","0.6","21","0.9684940984940977","0.8794871794871795"
"118","0.45","true","2","0.6","21","0.973575498575498","0.9"
"119","0.45","true","2","0.6","21","0.9773646723646716","0.9102564102564102"
"120","0.45","true","2","0.6","20","0.9809951159951156","0.9273504273504274"
"121","0.45","true","2","0.65","34","0.9881054131054127","0.9538461538461539"
"122","0.45","true","2","0.65","23","0.9919658119658117","0.9675213675213675"
"123","0.45","true","2","0.65","22","0.9912250712250712","0.9658119658119658"
"124","0.45","true","2","0.65","23","0.988239723239723","0.9538461538461539"
"125","0.45","true","2","0.65","26","0.9865873015873012","0.947008547008547"
"126","0.45","true","2","0.65","23","0.9880830280830277","0.9504273504273504"
"127","0.45","true","2","0.65","23","0.9920655270655269","0.9692307692307692"
"128","0.45","true","2","0.65","26","0.9891656491656489","0.9538461538461539"
"129","0.45","true","2","0.65","27","0.9911111111111113","0.9641025641025641"
"130","0.45","true","2","0.65","26","0.9925213675213673","0.9709401709401709"
"131","0.45","true","2","0.7","54","0.9992307692307691","0.9965811965811966"
"132","0.45","true","2","0.7","57","0.9959829059829055","0.9811965811965812"
"133","0.45","true","2","0.7","52","0.998091168091168","0.9914529914529915"
"134","0.45","true","2","0.7","47","0.998091168091168","0.9914529914529915"
