"BehaviorSpace results (NetLogo 6.3.0)"
"3-zombies!.nlogo"
"zombie batch"
"02/13/2023 22:33:56:765 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","spontaneous-infect","transmissibility","init-infected","zombie-speed","speed","zombie-death-rate","turning-angle","[step]","dead-zombies"
"305","300","0","0.2","3","0.55","0.6","0.4","60","5","3"
"276","300","0","0.2","3","0.55","0.6","0.1","60","36","7"
"308","300","0","0.2","3","0.55","0.6","0.4","60","2","3"
"310","300","0","0.2","3","0.55","0.6","0.4","60","2","3"
"307","300","0","0.2","3","0.55","0.6","0.4","60","5","6"
"299","300","0","0.2","3","0.55","0.6","0.3","60","15","9"
"311","300","0","0.2","3","0.55","0.6","0.5","60","2","3"
"306","300","0","0.2","3","0.55","0.6","0.4","60","3","5"
"314","300","0","0.2","3","0.55","0.6","0.5","60","4","4"
"315","300","0","0.2","3","0.55","0.6","0.5","60","2","3"
"309","300","0","0.2","3","0.55","0.6","0.4","60","4","3"
"318","300","0","0.2","3","0.55","0.6","0.5","60","7","5"
"300","300","0","0.2","3","0.55","0.6","0.3","60","15","6"
"316","300","0","0.2","3","0.55","0.6","0.5","60","4","3"
"312","300","0","0.2","3","0.55","0.6","0.5","60","5","6"
"321","300","0","0.2","3","0.55","0.6","0.6","60","2","4"
"320","300","0","0.2","3","0.55","0.6","0.5","60","2","4"
"317","300","0","0.2","3","0.55","0.6","0.5","60","5","4"
"313","300","0","0.2","3","0.55","0.6","0.5","60","13","7"
"319","300","0","0.2","3","0.55","0.6","0.5","60","9","4"
"324","300","0","0.2","3","0.55","0.6","0.6","60","2","4"
"322","300","0","0.2","3","0.55","0.6","0.6","60","2","3"
"327","300","0","0.2","3","0.55","0.6","0.6","60","1","3"
"323","300","0","0.2","3","0.55","0.6","0.6","60","2","3"
"330","300","0","0.2","3","0.55","0.6","0.6","60","2","4"
"328","300","0","0.2","3","0.55","0.6","0.6","60","4","6"
"325","300","0","0.2","3","0.55","0.6","0.6","60","5","4"
"334","300","0","0.2","3","0.55","0.6","0.7","60","2","3"
"336","300","0","0.2","3","0.55","0.6","0.7","60","1","3"
"329","300","0","0.2","3","0.55","0.6","0.6","60","2","3"
"326","300","0","0.2","3","0.55","0.6","0.6","60","3","3"
"333","300","0","0.2","3","0.55","0.6","0.7","60","2","3"
"338","300","0","0.2","3","0.55","0.6","0.7","60","1","3"
"331","300","0","0.2","3","0.55","0.6","0.7","60","2","4"
"335","300","0","0.2","3","0.55","0.6","0.7","60","3","4"
"332","300","0","0.2","3","0.55","0.6","0.7","60","3","3"
"275","300","0","0.2","3","0.55","0.6","0.1","60","127","101"
"337","300","0","0.2","3","0.55","0.6","0.7","60","3","5"
"339","300","0","0.2","3","0.55","0.6","0.7","60","3","4"
"342","300","0","0.2","3","0.55","0.6","0.8","60","2","5"
"345","300","0","0.2","3","0.55","0.6","0.8","60","2","4"
"344","300","0","0.2","3","0.55","0.6","0.8","60","1","5"
"183","300","0","0.2","3","0.4","0.6","0.1","60","138","53"
"348","300","0","0.2","3","0.55","0.6","0.8","60","1","3"
"343","300","0","0.2","3","0.55","0.6","0.8","60","3","4"
"351","300","0","0.2","3","0.55","0.6","0.9","60","1","4"
"350","300","0","0.2","3","0.55","0.6","0.8","60","1","3"
"349","300","0","0.2","3","0.55","0.6","0.8","60","2","3"
"352","300","0","0.2","3","0.55","0.6","0.9","60","1","3"
"346","300","0","0.2","3","0.55","0.6","0.8","60","2","3"
"354","300","0","0.2","3","0.55","0.6","0.9","60","1","3"
"340","300","0","0.2","3","0.55","0.6","0.7","60","3","4"
"353","300","0","0.2","3","0.55","0.6","0.9","60","2","3"
"347","300","0","0.2","3","0.55","0.6","0.8","60","3","6"
"356","300","0","0.2","3","0.55","0.6","0.9","60","1","4"
"358","300","0","0.2","3","0.55","0.6","0.9","60","1","3"
"359","300","0","0.2","3","0.55","0.6","0.9","60","1","3"
"341","300","0","0.2","3","0.55","0.6","0.8","60","1","3"
"360","300","0","0.2","3","0.55","0.6","0.9","60","1","3"
"355","300","0","0.2","3","0.55","0.6","0.9","60","2","4"
"357","300","0","0.2","3","0.55","0.6","0.9","60","2","4"
"272","300","0","0.2","3","0.55","0.6","0.1","60","147","73"
"273","300","0","0.2","3","0.55","0.6","0.1","60","148","70"
